,0,original,paredao
0,"bora continuar votando gentee!
pas cabecaaa 

#FicaScooby #ForaVyni https://t.co/sSdKtXvC2A","bora continuar votando gentee!
pas cabecaaa 

#FicaScooby #ForaVyni https://t.co/sSdKtXvC2A",#foravyni
1,Bom dia e #ForaViny,Bom dia e #ForaViny,#foravyni
2,"RT @Silva_DG: Um dos grandes amigos e aliados de DG dentro da casa esta no paredao. Por esse motivo, e importante pra gente reafirmar nossa...","RT @Silva_DG: Um dos grandes amigos e aliados de DG dentro da casa esta no paredao. Por esse motivo, e importante pra gente reafirmar nossa...",
3,"Aquele discurso da Rafa ""Eu nao gosto de voce... seus jeitos, falas, andados (tropecos)"" me irritaaaaaa e amanha voce sai, amem...#ForaViny #RedeBBB #BBB22","Aquele discurso da Rafa ""Eu nao gosto de voce... seus jeitos, falas, andados (tropecos)"" me irritaaaaaa e amanha voce sai, amem...#ForaViny #RedeBBB #BBB22",#foravyni
4,RT @babi: Este perfil e #ForaViny por questoes psicologicas (minhas) #BBB22,RT @babi: Este perfil e #ForaViny por questoes psicologicas (minhas) #BBB22,#foravyni
5,"@dieggoborges1 Nao e sobre ser gay. E sobre um jogo, sobre o que o publico esperava da pessoa no jogo e o que ela entregou. E chato, e forcado e se prendeu a uma relacao de amizade toxica dentro do programa. Nao merece continuar #ForaViny","@dieggoborges1 Nao e sobre ser gay. E sobre um jogo, sobre o que o publico esperava da pessoa no jogo e o que ela entregou. E chato, e forcado e se prendeu a uma relacao de amizade toxica dentro do programa. Nao merece continuar #ForaViny",#foravyni
6,Nao to acreditando que vao tirar o Vinicios e deixar o Scooby. Viny e so uma gay carente com feridas que ta recebendo carinho o que nunca aconteceu com ele. Parem de ser homofobicos e sabemos que ele nao ser um gay padrao nao agradou muito vcs. #bbb22 #forascooby,Nao to acreditando que vao tirar o Vinicios e deixar o Scooby. Viny e so uma gay carente com feridas que ta recebendo carinho o que nunca aconteceu com ele. Parem de ser homofobicos e sabemos que ele nao ser um gay padrao nao agradou muito vcs. #bbb22 #forascooby,#forascooby
7,"RT @menezes_nanda: Insuportavel. Sem nocao. Forcado. Ajude a eliminar uma planta! 
Ai Lucas | Ai Arthur #ForaViny #BBB222 #paredao https://...","RT @menezes_nanda: Insuportavel. Sem nocao. Forcado. Ajude a eliminar uma planta! 
Ai Lucas | Ai Arthur #ForaViny #BBB222 #paredao https://...",#foravyni
8,"RT @adornarcos: Viny, vem cair fora da casa! #ForaViny #BBB22 https://t.co/tRHfODD8IK","RT @adornarcos: Viny, vem cair fora da casa! #ForaViny #BBB22 https://t.co/tRHfODD8IK",#foravyni
9,"RT @PedroScooby: CHAMADA DA MANHA 
De FAV aqui se voce esta votando #ForaVyni.","RT @PedroScooby: CHAMADA DA MANHA 
De FAV aqui se voce esta votando #ForaVyni.",#foravyni
10,"@ErikakHilton Ate para o bem dele mesmo, #ForaViny","@ErikakHilton Ate para o bem dele mesmo, #ForaViny",#foravyni
11,RT @PaolaDeboche: Bom dia #ForaViny sem pensar duas vezes!!!!,RT @PaolaDeboche: Bom dia #ForaViny sem pensar duas vezes!!!!,#foravyni
13,#BBB22 #ForaVyni nao merece ir a final  https://t.co/CziNqIfpBW,#BBB22 #ForaVyni nao merece ir a final  https://t.co/CziNqIfpBW,#foravyni
14,"RT @williangabardo: Nem o Tadeu aguenta o tal do Viny, ou Vyny... Sei la. Gil sem Vigor total.
#FORAVYNI https://t.co/QtZQsbb0fu","RT @williangabardo: Nem o Tadeu aguenta o tal do Viny, ou Vyny... Sei la. Gil sem Vigor total.
#FORAVYNI https://t.co/QtZQsbb0fu",#foravyni
15,"RT @vyniof:  MUTIRAO FEAT @eumaria INICIADO 

 A cada 10 votos comentem um emoji nesse tweet

 Meta: 600 comentarios

 Encerramento as...","RT @vyniof:  MUTIRAO FEAT @eumaria INICIADO 

 A cada 10 votos comentem um emoji nesse tweet

 Meta: 600 comentarios

 Encerramento as...",
16,RT @PedroScooby: Incentivo pra voces nao perderem o gas: E #FicaScooby e #ForaVyni!!  https://t.co/R17vhdRIsq,RT @PedroScooby: Incentivo pra voces nao perderem o gas: E #FicaScooby e #ForaVyni!!  https://t.co/R17vhdRIsq,#foravyni
18,"Discurso do @LucasBissoli_ perfeito, parabenizou, agradeceu, explicou porque queria ganhar, indicou o @PedroScooby, justificou sem mentiras, tudo fato mesmo elogiou o cara. O resto foi invencao do @Aguiarthur e @Scooby. @webtvbrasileira #bbb #bbb22 #webtvbrasileira #forascooby https://t.co/WzMRn613Bi https://t.co/DHzEoJjcFG","Discurso do @LucasBissoli_ perfeito, parabenizou, agradeceu, explicou porque queria ganhar, indicou o @PedroScooby, justificou sem mentiras, tudo fato mesmo elogiou o cara. O resto foi invencao do @Aguiarthur e @Scooby. @webtvbrasileira #bbb #bbb22 #webtvbrasileira #forascooby https://t.co/WzMRn613Bi https://t.co/DHzEoJjcFG",#forascooby
19,RT @badiedits: viny forcado da porra #ForaViny #BBB22 https://t.co/yemZ6YJDTk,RT @badiedits: viny forcado da porra #ForaViny #BBB22 https://t.co/yemZ6YJDTk,#foravyni
20,"@forumpandlr Pelo amor de Deus, esse ai nao tem limites #ForaViny https://t.co/cDIrdXcRHh","@forumpandlr Pelo amor de Deus, esse ai nao tem limites #ForaViny https://t.co/cDIrdXcRHh",#foravyni
22,"sou nordestina, sou espontanea, sou engracada, mas nao sou forcada! o vyni sendo exposto ""como engracado"" e a glr generalizando como se todo nordestino fosse assim, mas n e! tenho orgulho de ser nordestina, mas se tem um negocio que a gente n gosta e de coisa forcada. #ForaVyni","sou nordestina, sou espontanea, sou engracada, mas nao sou forcada! o vyni sendo exposto ""como engracado"" e a glr generalizando como se todo nordestino fosse assim, mas n e! tenho orgulho de ser nordestina, mas se tem um negocio que a gente n gosta e de coisa forcada. #ForaVyni",#foravyni
23,RT @brunnagoncalves: O vyni e um menino tao do bem e merece tanto estar ali. O BBB e a oportunidade que ele esta tendo de mudar a historia...,RT @brunnagoncalves: O vyni e um menino tao do bem e merece tanto estar ali. O BBB e a oportunidade que ele esta tendo de mudar a historia...,
24,"Gente precisamos tirar o Vinny, primeiro que ele compra a ideia do Lollipop para atingir o Arthur, segundo que o Arthur acha que ele e forte aqui fora sera uma resposta para ele no jogo tbm.
#ForaViny 
#bbb 
#BBB22","Gente precisamos tirar o Vinny, primeiro que ele compra a ideia do Lollipop para atingir o Arthur, segundo que o Arthur acha que ele e forte aqui fora sera uma resposta para ele no jogo tbm.
#ForaViny 
#bbb 
#BBB22",#foravyni
25,"@RealitysVip Indiscutivel que a saida do Viny  e necessaria. Se o criterio e ""jogar"", ele joga menos que o Scooby. Nao foi lider. Nao aparece em nada. Forca muito a barra. Sequer discute ou se posiciona firme sobre qualquer coisa. Tudo isso o Scooby ja fez. #ForaViny","@RealitysVip Indiscutivel que a saida do Viny  e necessaria. Se o criterio e ""jogar"", ele joga menos que o Scooby. Nao foi lider. Nao aparece em nada. Forca muito a barra. Sequer discute ou se posiciona firme sobre qualquer coisa. Tudo isso o Scooby ja fez. #ForaViny",#foravyni
26,RT @choquei: Quem e #ForaVyni da RT aqui,RT @choquei: Quem e #ForaVyni da RT aqui,#foravyni
27,"RT @hacker_real1: #BBB22

#ForaGustavo RT aqui.","RT @hacker_real1: #BBB22

#ForaGustavo RT aqui.",#foragustavo
28,@CentralReaIity Eu voto pro Scooby sair o discurso foi lamentavel. Essa indiferenca dele pro BBB... Seria legal ver o grupo Disney abalado movimenta o jogo. Vyni e planta master sai em qualquer paredao o momento e tirar o Scooby que ta nem ai pro game essa real. #ForaScooby #BBB22,@CentralReaIity Eu voto pro Scooby sair o discurso foi lamentavel. Essa indiferenca dele pro BBB... Seria legal ver o grupo Disney abalado movimenta o jogo. Vyni e planta master sai em qualquer paredao o momento e tirar o Scooby que ta nem ai pro game essa real. #ForaScooby #BBB22,#forascooby
29,"RT @jadre_oficial: Espero que todos voces votem pra ajudar o padrinho Scooby, pois ele e muito importante pro PA la dentro. Vamooooooos #FO...","RT @jadre_oficial: Espero que todos voces votem pra ajudar o padrinho Scooby, pois ele e muito importante pro PA la dentro. Vamooooooos #FO...",
30,"Bom dia so pra quem e #ForaViny.

Afinal, onde fica o y do Viny 

Vyny

Viyn","Bom dia so pra quem e #ForaViny.

Afinal, onde fica o y do Viny 

Vyny

Viyn",#foravyni
31,"RT @tuitaguil: o scooby nao faz a menor importancia de ta no bbb mas vive muito mais do que o vyni, joga mais do que o vyni, se dedica mais...","RT @tuitaguil: o scooby nao faz a menor importancia de ta no bbb mas vive muito mais do que o vyni, joga mais do que o vyni, se dedica mais...",
33,"@vyniof Isso ai. Apoiado. Por isso somos #FORAVYNI pra ele poder vir processar algumas pessoas aqui fora e ganhar o milhaozinho dele assim, pq no programa nao rolou, flopou, vergonha alheia, ja eraaaa.","@vyniof Isso ai. Apoiado. Por isso somos #FORAVYNI pra ele poder vir processar algumas pessoas aqui fora e ganhar o milhaozinho dele assim, pq no programa nao rolou, flopou, vergonha alheia, ja eraaaa.",#foravyni
35,#ForaViny participante mais chato dessa edicao forcado e sem graca https://t.co/2a82It5hE1,#ForaViny participante mais chato dessa edicao forcado e sem graca https://t.co/2a82It5hE1,#foravyni
36,"@Dantinhas Discurso do @LucasBissoli_ perfeito, parabenizou, agradeceu, explicou porque queria ganhar, indicou o @PedroScooby, justificou sem mentiras, tudo fato mesmo elogiou o cara. O resto foi invencao do @Aguiarthur e @Scooby. @webtvbrasileira #bbb #bbb22 #webtvbrasileira #forascooby https://t.co/pWpV5n7yJb","@Dantinhas Discurso do @LucasBissoli_ perfeito, parabenizou, agradeceu, explicou porque queria ganhar, indicou o @PedroScooby, justificou sem mentiras, tudo fato mesmo elogiou o cara. O resto foi invencao do @Aguiarthur e @Scooby. @webtvbrasileira #bbb #bbb22 #webtvbrasileira #forascooby https://t.co/pWpV5n7yJb",#forascooby
38,"RT @jardelgoncalve4: vai me desculpar, mas neste paredao poderia sair o Scooby. O cara nao sabe o que ta fazendo ali. chega de ""papararapap...","RT @jardelgoncalve4: vai me desculpar, mas neste paredao poderia sair o Scooby. O cara nao sabe o que ta fazendo ali. chega de ""papararapap...",
40,RT @JOT4_A: So Anitta msm. Kkk #ForaVyni Insuportavel https://t.co/WQoaYYSEhc,RT @JOT4_A: So Anitta msm. Kkk #ForaVyni Insuportavel https://t.co/WQoaYYSEhc,#foravyni
41,RT @vyniof:  CHAMADA DA MANHA: Quem esta votando #ForaGustavo da RT e FAV aqui!,RT @vyniof:  CHAMADA DA MANHA: Quem esta votando #ForaGustavo da RT e FAV aqui!,#foragustavo
42,"RT @Sandro_paz21: Esse vinny e muito ridiculo....
Vai sair com rejeicao ....
#bbb22 
#ForaViny 
https://t.co/3h7N9rkXSO","RT @Sandro_paz21: Esse vinny e muito ridiculo....
Vai sair com rejeicao ....
#bbb22 
#ForaViny 
https://t.co/3h7N9rkXSO",#foravyni
43,RT @IzabelaSouzada2: Insuportavel essa Natalia. Pq ela nao cresce assim pra cima do Eli que faz ela de pano de chao. Insuportavel essa mulh...,RT @IzabelaSouzada2: Insuportavel essa Natalia. Pq ela nao cresce assim pra cima do Eli que faz ela de pano de chao. Insuportavel essa mulh...,
44,"RT @_futCearense: Nos, como uma pagina exclusivamente cearense, sempre defendemos nosso povo. 

Dito isto, #ForaVyni. #BBB222","RT @_futCearense: Nos, como uma pagina exclusivamente cearense, sempre defendemos nosso povo. 

Dito isto, #ForaVyni. #BBB222",#foravyni
45,bom dia e #foravyni #ficascooby,bom dia e #foravyni #ficascooby,#foravyni
46,"RT @luh_almeiidaa: Esse Gustavo ta insuportavel ja. Cachorrinho da Lais.Arthur ta tirando um a um, e o cara fica atacando ele ainda, queren...","RT @luh_almeiidaa: Esse Gustavo ta insuportavel ja. Cachorrinho da Lais.Arthur ta tirando um a um, e o cara fica atacando ele ainda, queren...",
48,"Gente pelo amor vamo salvar o vyni dessa vergonha, manda ele pra casa #ForaVyni #bbb22 https://t.co/RCWylSPhF3","Gente pelo amor vamo salvar o vyni dessa vergonha, manda ele pra casa #ForaVyni #bbb22 https://t.co/RCWylSPhF3",#foravyni
49,FORA VINY GENTE PELO AMOR #BBB22 #ForaViny https://t.co/4KvohnV9nX,FORA VINY GENTE PELO AMOR #BBB22 #ForaViny https://t.co/4KvohnV9nX,#foravyni
50,"RT @iampauloandre:  Atencao bandeirinhas 
Temos um aliado nosso nesse paredao e e uma pessoa muito ligada ao PA, que sempre esteve por el...","RT @iampauloandre:  Atencao bandeirinhas 
Temos um aliado nosso nesse paredao e e uma pessoa muito ligada ao PA, que sempre esteve por el...",
52,Vamos eliminar mais um do quarto Lolipopp? #ForaViny #BBB22,Vamos eliminar mais um do quarto Lolipopp? #ForaViny #BBB22,#foravyni
53,"Discurso do @LucasBissoli_ perfeito, parabenizou, agradeceu, explicou porque queria ganhar, indicou o @PedroScooby, justificou sem mentiras, tudo fato mesmo elogiou o cara. O resto foi invencao do @Aguiarthur e @Scooby. @webtvbrasileira #bbb #bbb22 #webtvbrasileira #forascooby https://t.co/17llcCyEBi https://t.co/gWn7SY7KBH","Discurso do @LucasBissoli_ perfeito, parabenizou, agradeceu, explicou porque queria ganhar, indicou o @PedroScooby, justificou sem mentiras, tudo fato mesmo elogiou o cara. O resto foi invencao do @Aguiarthur e @Scooby. @webtvbrasileira #bbb #bbb22 #webtvbrasileira #forascooby https://t.co/17llcCyEBi https://t.co/gWn7SY7KBH",#forascooby
54,"@abayxxakki Eu tambem sou #forascooby 
E estou votando muito, da para votar 100 vezes em 15 minutos.","@abayxxakki Eu tambem sou #forascooby 
E estou votando muito, da para votar 100 vezes em 15 minutos.",#forascooby
55,"@vyniof espero que aqui fora ele consiga tudo o que almeja, mais dentro do bbb, para o programa ele realmente nao agrega em nada a nao ser servir o eliezer. #ForaVyni","@vyniof espero que aqui fora ele consiga tudo o que almeja, mais dentro do bbb, para o programa ele realmente nao agrega em nada a nao ser servir o eliezer. #ForaVyni",#foravyni
57,RT @rcaroliveso: Tirar Vyni da casa e uma questao urgente para a propria sanidade mental dele. Esse rapaz precisa de terapia. #BBB22 #forav...,RT @rcaroliveso: Tirar Vyni da casa e uma questao urgente para a propria sanidade mental dele. Esse rapaz precisa de terapia. #BBB22 #forav...,
58,"Quem mais torce por eles? Vamos nos unir? Sigo todos de volta.
#ForaVyni #BBB222 https://t.co/PQVNHOB9zO","Quem mais torce por eles? Vamos nos unir? Sigo todos de volta.
#ForaVyni #BBB222 https://t.co/PQVNHOB9zO",#foravyni
59,"Serio, ser #ForaScooby  com o vyni ali, e loucura kkkkkkk","Serio, ser #ForaScooby  com o vyni ali, e loucura kkkkkkk",#forascooby
60,"RT @Davi_na_TPM: hehehe.

INSUPORTAVEL | nem o Tadeu | #BBB22 | #ForaViny | #FicaGustavo  | #FicaScooby https://t.co/6SKsMfOLgr","RT @Davi_na_TPM: hehehe.

INSUPORTAVEL | nem o Tadeu | #BBB22 | #ForaViny | #FicaGustavo  | #FicaScooby https://t.co/6SKsMfOLgr",#foravyni
62,O combinado nao sai caro #foraviny #bbb22 https://t.co/QbcPjPUq8B,O combinado nao sai caro #foraviny #bbb22 https://t.co/QbcPjPUq8B,#foravyni
64,@BruDiMaio Eu voto pro Scooby sair o discurso foi lamentavel. Essa indiferenca dele pro BBB... Seria legal ver o grupo Disney abalado movimenta o jogo. Vyni e planta master sai em qualquer paredao o momento e tirar o Scooby que ta nem ai pro game essa real. #ForaScooby #BBB22,@BruDiMaio Eu voto pro Scooby sair o discurso foi lamentavel. Essa indiferenca dele pro BBB... Seria legal ver o grupo Disney abalado movimenta o jogo. Vyni e planta master sai em qualquer paredao o momento e tirar o Scooby que ta nem ai pro game essa real. #ForaScooby #BBB22,#forascooby
65,"RT @ferferr14: Como assim ja puxaram a #ForaScooby  com o Vyni no paredao? 

#BBB22 https://t.co/mDskB24Jpy","RT @ferferr14: Como assim ja puxaram a #ForaScooby  com o Vyni no paredao? 

#BBB22 https://t.co/mDskB24Jpy",#forascooby
