text,created_at,updated_at,original,paredao
scooby dizendo lucas questao 20 mil compras americanas colocar lugar pobre coi,15/03/2022 00:54:05,14/03/2022 21:54:05,RT @whomath: nao mas o scooby dizendo pro lucas que ele fazer questao de 20 mil em compras na americanas e se colocar no lugar de pobre coi...,
jessi lina fala gostou atitude lucas resto defende unhas dentes,15/03/2022 00:54:05,14/03/2022 21:54:05,"RT @ZAMENZA: A Jessi com a Lina fala que nao gostou da atitude do Lucas, mas pro resto ela defende com unhas e dentes. E SOBRE ISSO. #BBB22...",
gustavo lais eslo lucas tramando ir cima arthur discordia querooooooooooooo assim,15/03/2022 00:54:05,14/03/2022 21:54:05,"RT @ComentaRufus: GUSTAVO, LAIS, ESLO e LUCAS ESTAO TRAMANDO DE IR PRA CIMA DO ARTHUR NA DISCORDIA HOJE! JA QUEROOOOOOOOOOOOO
SO ASSIM PRA...",
perfil questoes psicologicas,15/03/2022 00:54:04,14/03/2022 21:54:05,RT @babi: Este perfil e #ForaViny por questoes psicologicas (minhas) #BBB22,#foravyni
arthur bebado sensacional,15/03/2022 00:54:04,14/03/2022 21:54:05,"RT @NazareAmarga: O Arthur bebado e sensacional KKKKKKKKK #BBB22 
https://t.co/hMOPoAsbo6",
podia opcao eliminar dois participantes nesse paredao hein,15/03/2022 00:54:03,14/03/2022 21:54:05,podia ter a opcao de eliminar dois participantes nesse paredao hein? #foravyni #foragustavo,#foravyni
pa inacreditavel,15/03/2022 00:54:03,14/03/2022 21:54:05,RT @ZAMENZA: O PA e inacreditavel. #BBB22 https://t.co/QLFu5WbxMv,
pagina nova manga faltou coracao cartas leitura ocidental preferencia resposte compartilhe,15/03/2022 00:54:03,14/03/2022 21:54:05,"RT @thunters_manga: Pagina nova!
BBB22 em manga! Faltou o Coracao das cartas

LEITURA OCIDENTAL

De preferencia NAO resposte. Compartilhe o...",
arthur campeao,15/03/2022 00:54:02,14/03/2022 21:54:05,"@Dantinhas #BBB22 Arthur campeao
 https://t.co/8UYNfx7uTB",
sera novo lollipoper eslovenia vir ca sair lider ganhar li,15/03/2022 00:54:02,14/03/2022 21:54:05,"RT @bbb: Sera que teremos um novo Lollipoper? 

Eslovenia: ""Ele ta falando que vai vir pra ca depois que sair do Lider. Se nao ganhar o Li...",
cabelo milhoes by pantene ouviu,15/03/2022 00:54:02,14/03/2022 21:54:05,"RT @dra_laiscaldass: E o cabelo de milhoes by Pantene, ouviu ne @PanteneBrasil? 

#BBB22 | #TeamLais https://t.co/2mrjKYTjoB",
,15/03/2022 00:54:01,14/03/2022 21:54:05,"RT @hacker_real1: #BBB22

#ForaViny RT aqui.",#foravyni
incrivel viny consegue irritar silencio,15/03/2022 00:54:01,14/03/2022 21:54:05,RT @wwwmlna: e incrivel como viny consegue me irritar ate em silencio #bbb22 https://t.co/4N8kbQjnoC,
vejo povo dizer ruim param bater boca ihuuuu pega fogo quengaral,15/03/2022 00:54:01,14/03/2022 21:54:05,"So vejo o povo dizer que o #BbB22 ta ruim, mas nao param de bater boca aqui no TT kkkkkkkk 

Ihuuuu, pega fogo quengaral 
#BbB22",
scooby mandando lucas ir reclamar diretor kkkkkkkkkk,15/03/2022 00:54:01,14/03/2022 21:54:05,RT @cortesbbb2022: Scooby mandando o Lucas ir reclamar com o diretor do BBB kkkkkkkkkk #BBB22 https://t.co/sA02I05HCA,
arthur lucas desleal comigo lucas arthur santo silencio sala,15/03/2022 00:54:00,14/03/2022 21:54:05,"RT @CentralReaIity: Arthur pro Lucas: Voce foi desleal comigo.

Lucas pro Arthur: Vai la, santo.

Silencio na sala. #BBB22",
atencao galera proximo mutirao feat iremos abrir space queremos,15/03/2022 00:54:00,14/03/2022 21:54:05,"RT @PedroScooby: Atencao galera, o proximo mutirao vai ser feat com o @iampauloandre e iremos abrir um space aqui pra voces! Queremos todo...",
sequencia,15/03/2022 00:54:00,14/03/2022 21:54:05,RT @paiva: essa sequencia  #bbb22 https://t.co/j4c5jNl1N4,
vyni pode chato forcado jamais vou torcer contra favor outro chato playboy bolsomi,15/03/2022 00:54:00,14/03/2022 21:54:05,"RT @mr_littlewhite: Vyni pode ser chato e forcado, mas jamais que eu vou torcer contra ele e a favor de outro chato e que e playboy bolsomi...",
