,alias,user_insta,followers_insta,user_tt,followers_tt,total_likes_5days,like_mean_5days,total_rts_5days,rt_mean_5days,sentiment,score,date,rt_follower,likes_follower
Pedro Scooby,scooby,pedroscooby,4092508,PedroScooby,411465,252248,1445.4885057471265,12076,69.05172413793103,0.031083272005772003,1.0131393708199619,2022-03-13,0.029348790298081247,0.6130484974420668
Arthur Aguiar,arthur,arthuraguiar,12248481,Aguiarthur,2070515,1019009,1658.3679092382497,69187,112.23376623376623,0.0203373414345432,1.0125238443493483,2022-03-13,0.03341535801479342,0.49215243550517623
Paulo André,pa,iampauloandre,5290181,iampauloandre,369223,677821,2003.6301775147929,42380,125.34023668639053,0.050592461769004914,0.9653453278138183,2022-03-13,0.11478158186245169,1.8358038367057308
Linna,lina,linndaquebrada,2565581,linndaquebrada,651368,685099,2401.6631578947367,26923,94.41754385964913,0.007586166044904914,0.9991828217937397,2022-03-13,0.04133300991144791,1.0517848589430245
Lucas,lucas,bissolilucas,881134,LucasBissoli_,100945,121836,456.13483146067415,9104,34.08614232209738,0.021054328215042505,0.9938220989384496,2022-03-13,0.09018772598940017,1.2069542820347714
Natalia,nat,natalia.deodato,2746130,nataliadeodato,305901,198644,858.7532467532468,13095,56.714285714285715,0.031383156044917655,1.01064661946824,2022-03-13,0.04280796728353291,0.6493734901160834
Jessi,jessi,jessilane,1053104,a_jessilane,165938,138052,483.9614035087719,9118,31.978947368421053,0.00548059983376689,1.0004907337463083,2022-03-13,0.05494823367763864,0.8319492822620497
Gustavo,gustavo,gustavo_marsengo,751474,gustavo_beats,126443,59601,356.67664670658684,2957,17.688622754491018,0.004610862808660479,1.0031418723025785,2022-03-13,0.023386031650625184,0.4713665446090333
Eslovênia,eslo,eslomarques,2069427,eslomarques,143483,75618,424.29213483146066,5723,32.11797752808989,0.0036621122738913327,1.0019537825099345,2022-03-13,0.039886258302377284,0.5270171379187778
Vyni,vyni,vyniof,4119570,vyniof,162050,22333,155.83916083916083,1391,9.72027972027972,0.020155250265685157,1.0388811049879634,2022-03-13,0.008583770441221845,0.13781548904659055
Douglas,dg,douglassilva,2799711,Silva_DG,364577,188328,738.1803921568627,13276,52.05490196078431,0.019886890940715368,1.0111996446551152,2022-03-13,0.036414804005738155,0.5165657734854365
Lais,lais,dra.laiscaldass,1168689,dra_laiscaldass,22547,29303,192.5328947368421,3439,22.61842105263158,0.016681628504463735,0.9929479567687212,2022-03-13,0.1525258349226061,1.29964075043243
Eliezer,eli,eliezer,968241,eliezer,79990,5858,27.055555555555557,270,1.2407407407407407,0.019637916566510153,1.0512947841145062,2022-03-13,0.003375421927740968,0.07323415426928366
